"DATE","MINUTE","PLAYER","TEAM","OPPOSITION","Shot","X","Y"
12/06/2014,1,"Kovacic","Croatia","Brazil","Miss",76.2,72.8
12/06/2014,6,"David Luiz","Brazil","Croatia","Attempt Saved",90.9,52.6
12/06/2014,7,"Olic","Croatia","Brazil","Miss",91.3,57.5
12/06/2014,9,"Paulinho","Brazil","Croatia","Blocked",73.1,39.8
12/06/2014,11,"Jelavic","Croatia","Brazil","Miss",90.9,57.3
12/06/2014,11,"Marcelo","Croatia","Brazil","Goal",93.9,50.9
12/06/2014,16,"Neymar","Brazil","Croatia","Blocked",76.9,42.7
12/06/2014,21,"Paulinho","Brazil","Croatia","Attempt Saved",91.6,32
12/06/2014,22,"Oscar","Brazil","Croatia","Attempt Saved",77.2,36.5
12/06/2014,22,"Hulk","Brazil","Croatia","Miss",94.9,73.6
12/06/2014,29,"Neymar","Brazil","Croatia","Goal",76.9,56.1
12/06/2014,29,"Jelavic","Croatia","Brazil","Attempt Saved",91.9,38.4
12/06/2014,41,"Dani Alves","Brazil","Croatia","Blocked",78.5,25.8
12/06/2014,42,"Neymar","Brazil","Croatia","Blocked",78.1,32.2
12/06/2014,45,"Hulk","Brazil","Croatia","Miss",90.7,28.9
12/06/2014,56,"Perisic","Croatia","Brazil","Miss",75.2,38.2
12/06/2014,67,"Dani Alves","Brazil","Croatia","Miss",71.9,52.6
12/06/2014,71,"Neymar","Brazil","Croatia","Goal",88.5,50
12/06/2014,73,"Lovren","Croatia","Brazil","Miss",91,60.4
12/06/2014,77,"David Luiz","Brazil","Croatia","Miss",95.4,52.4
12/06/2014,86,"Modric","Croatia","Brazil","Attempt Saved",69.4,58.1
12/06/2014,88,"Corluka","Croatia","Brazil","Miss",87.5,57.5
12/06/2014,90,"Brozovic","Croatia","Brazil","Blocked",92.7,30.5
12/06/2014,90,"Oscar","Brazil","Croatia","Goal",79.1,58.8
12/06/2014,90,"Perisic","Croatia","Brazil","Attempt Saved",75.2,34.2
12/06/2014,90,"Brozovic","Croatia","Brazil","Miss",72.5,59.6
13/06/2014,7,"Layún","Mexico","Cameroon","Attempt Saved",74.9,71.5
13/06/2014,9,"Herrera","Mexico","Cameroon","Miss",77.5,50.3
13/06/2014,18,"Assou-Ekotto","Cameroon","Mexico","Miss",70.4,55.2
13/06/2014,18,"Mbia","Cameroon","Mexico","Miss",91.8,53
13/06/2014,21,"Eto'o","Cameroon","Mexico","Post",88.9,53.8
13/06/2014,23,"Choupo-Moting","Cameroon","Mexico","Miss",95.4,54.6
13/06/2014,24,"Chedjou","Cameroon","Mexico","Miss",81.3,73.3
13/06/2014,27,"Márquez","Mexico","Cameroon","Miss",92.5,52.8
13/06/2014,35,"Assou-Ekotto","Cameroon","Mexico","Blocked",68.7,50.7
13/06/2014,45,"Enoh","Cameroon","Mexico","Miss",71.1,42.2
13/06/2014,48,"Peralta","Mexico","Cameroon","Attempt Saved",92.2,35.1
13/06/2014,58,"Assou-Ekotto","Cameroon","Mexico","Blocked",73.7,47.3
13/06/2014,59,"Chedjou","Cameroon","Mexico","Miss",90.3,53.4
13/06/2014,61,"dos Santos","Mexico","Cameroon","Attempt Saved",87.2,44.9
13/06/2014,61,"Peralta","Mexico","Cameroon","Goal",88.6,48.7
13/06/2014,63,"Guardado","Mexico","Cameroon","Miss",75.4,69.4
13/06/2014,78,"Layún","Mexico","Cameroon","Miss",72.7,44.5
13/06/2014,80,"Eto'o","Cameroon","Mexico","Blocked",76.4,69.7
13/06/2014,81,"N'Koulou","Cameroon","Mexico","Miss",91.8,51.3
13/06/2014,85,"Choupo-Moting","Cameroon","Mexico","Blocked",83.5,67.8
13/06/2014,90,"Moukandjo","Cameroon","Mexico","Attempt Saved",90.7,47
13/06/2014,90,"Hernández","Mexico","Cameroon","Miss",94,52.5
13/06/2014,8,"Sneijder","Holland","Spain","Attempt Saved",86.4,38.6
13/06/2014,10,"Iniesta","Spain","Holland","Miss",75.8,65.8
13/06/2014,13,"Diego Costa","Spain","Holland","Blocked",90.4,64
13/06/2014,18,"Diego Costa","Spain","Holland","Miss",88.3,28.3
13/06/2014,23,"Ramos","Spain","Holland","Miss",91.3,47.2
13/06/2014,27,"Alonso","Spain","Holland","Goal",88.5,50
13/06/2014,35,"de Jong","Holland","Spain","Attempt Saved",76.7,69.1
13/06/2014,43,"Silva","Spain","Holland","Attempt Saved",89.5,63.3
13/06/2014,44,"van Persie","Holland","Spain","Goal",84.8,50.9
13/06/2014,50,"Iniesta","Spain","Holland","Attempt Saved",72.7,48.2
13/06/2014,53,"Robben","Holland","Spain","Goal",89.4,47.8
13/06/2014,60,"van Persie","Holland","Spain","Post",90.3,30.1
13/06/2014,64,"de Vrij","Holland","Spain","Goal",99,45.2
13/06/2014,64,"de Vrij","Holland","Spain","Post",98,45.4
13/06/2014,67,"Silva","Spain","Holland","Blocked",85,51.1
13/06/2014,67,"Pedro","Spain","Holland","Attempt Saved",91.3,57.3
13/06/2014,69,"van Persie","Holland","Spain","Attempt Saved",78.5,63.9
13/06/2014,72,"van Persie","Holland","Spain","Goal",89.6,45.6
13/06/2014,76,"Ramos","Spain","Holland","Miss",73.2,59
13/06/2014,80,"Robben","Holland","Spain","Goal",91.2,54.2
13/06/2014,87,"Robben","Holland","Spain","Attempt Saved",81.3,33.1
13/06/2014,87,"Wijnaldum","Holland","Spain","Attempt Saved",86.9,51.1
13/06/2014,88,"Sneijder","Holland","Spain","Blocked",78.7,46.4
13/06/2014,90,"Sneijder","Holland","Spain","Miss",89.5,56.7
13/06/2014,12,"Sánchez","Chile","Australia","Goal",94.6,42.3
13/06/2014,14,"Valdívia","Chile","Australia","Goal",84.2,50.5
13/06/2014,19,"Oar","Australia","Chile","Miss",72.2,54
13/06/2014,22,"Oar","Australia","Chile","Miss",77.9,61.7
13/06/2014,24,"Vidal","Chile","Australia","Miss",89.4,32.2
13/06/2014,33,"Mena","Chile","Australia","Blocked",87.8,62.3
13/06/2014,35,"Cahill","Australia","Chile","Goal",95.3,56.9
13/06/2014,37,"Cahill","Australia","Chile","Attempt Saved",93.6,31.2
13/06/2014,38,"Isla","Chile","Australia","Blocked",97,31.4
13/06/2014,51,"Cahill","Australia","Chile","Miss",90.8,46.1
13/06/2014,56,"Bresciano","Australia","Chile","Attempt Saved",89,40.4
13/06/2014,56,"Bresciano","Australia","Chile","Attempt Saved",99.2,39.4
13/06/2014,59,"Cahill","Australia","Chile","Miss",96,42.5
13/06/2014,61,"Vargas","Chile","Australia","Blocked",93.3,56.5
13/06/2014,62,"Bresciano","Australia","Chile","Miss",83.5,37.9
13/06/2014,65,"Leckie","Australia","Chile","Miss",87.2,55.7
13/06/2014,70,"Cahill","Australia","Chile","Miss",91.9,44.5
13/06/2014,70,"Díaz","Chile","Australia","Blocked",73.4,42.1
13/06/2014,84,"Milligan","Australia","Chile","Blocked",72.1,48.9
13/06/2014,85,"Sánchez","Chile","Australia","Miss",80,70.6
13/06/2014,87,"Leckie","Australia","Chile","Blocked",83.8,72.7
13/06/2014,90,"Beausejour","Chile","Australia","Goal",81.5,69.3
13/06/2014,90,"Pinilla","Chile","Australia","Attempt Saved",89.9,57.2
14/06/2014,5,"Maniatis","Greece","Colombia","Attempt Saved",74.4,30.9
14/06/2014,5,"Armero","Colombia","Greece","Goal",86.4,51.3
14/06/2014,6,"Kone","Greece","Colombia","Miss",87.6,60.6
14/06/2014,11,"Holebas","Greece","Colombia","Blocked",70.9,36.9
14/06/2014,18,"Rodríguez","Colombia","Greece","Attempt Saved",73.2,49.9
14/06/2014,28,"Torosidis","Greece","Colombia","Miss",91.3,48
14/06/2014,30,"Kone","Greece","Colombia","Miss",82.1,34.7
14/06/2014,33,"Cuadrado","Colombia","Greece","Miss",68,51.5
