Match, ID
Croatia-Brazil,1
Mexico-Cameroon,2
Holland-Spain,3
Chile-Australia,4
Greece-Colombia,5
Uruguay-Costa Rica,6
England-Italy,7
Ivory Coast-Japan,8
Switzerland-Ecuador,9
Honduras-France,10
Argentina-Bosnia and Herzegovina,11
Nigeria-Iran,12
Portugal-Germany,13
USA-Ghana,14
Belgium-Algeria,15
South Korea-Russia,16
Brazil-Mexico,17
Cameroon-Croatia,18
Chile-Spain,19
Australia-Holland,20
Colombia-Ivory Coast,21
Japan-Greece,22
England-Uruguay,23
Costa Rica-Italy,24
Switzerland-France,25
Ecuador-Honduras,26
Iran-Argentina,27
Nigeria-Bosnia and Herzegovina,28
Ghana-Germany,29
Portugal-USA,30
Russia-Belgium,31
Algeria-South Korea,32
Brazil-Cameroon,33
Croatia-Mexico,34
Australia-Spain,35
Chile-Holland,36
Japan-Colombia,37
Greece-Ivory Coast,38
Uruguay-Italy,39
Costa Rica-England,40
Switzerland-Honduras,41
France-Ecuador,42
Argentina-Nigeria,43
Bosnia and Herzegovina-Iran,44
Germany-USA,45
Ghana-Portugal,46
South Korea-Belgium,47
Russia-Algeria,48
Chile-Brazil,49
Colombia-Uruguay,50
Mexico-Holland,51
Greece-Costa Rica,52
France-Nigeria,53
Algeria-Germany,54
Argentina-Switzerland,55
Belgium-USA,56
Brazil-Colombia,57
Germany-France,58
Holland-Costa Rica,59
Argentina-Belgium,60
Brazil-Germany,61
Holland-Argentina,62
